"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1","1","1000µF C_Polarized","","","","ESP32_Custom_Footprints:CP_Radial_D8.0mm_P2.50mm","~"
"C2,C3","2","0.1µF Ceramic Capacitor","","","","ESP32_Custom_Footprints:C_Disc_D3.0mm_W1.6mm_P2.50mm","~"
"H1,H2,H3,H4","4","MountingHole","","Excluded from BOM","","ESP32_Custom_Footprints:MountingHole_3.2mm_M3_ISO7380","~"
"J1","1","RGB LED Terminal","","","","ESP32_Custom_Footprints:TerminalBlock_bornier-3_P5.08mm","~"
"J2","1","DS18B20 Terminal","","","","ESP32_Custom_Footprints:TerminalBlock_bornier-3_P5.08mm","~"
"J3","1","SSR_25DA Terminal","","","","ESP32_Custom_Footprints:TerminalBlock_bornier-2_P5.08mm","~"
"J4","1","Power Input Terminal","","","","ESP32_Custom_Footprints:TerminalBlock_bornier-2_P5.08mm","~"
"J5","1","SCT 013 020 Indecator","","","","ESP32_Custom_Footprints:TerminalBlock_bornier-2_P5.08mm","~"
"J6","1","Red LED Power Indecator","","","","ESP32_Custom_Footprints:TerminalBlock_bornier-2_P5.08mm","~"
"R1","1","300Ω","","","","ESP32_Custom_Footprints:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R2","1","220Ω","","","","ESP32_Custom_Footprints:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R3","1","4.7KΩ","","","","ESP32_Custom_Footprints:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R4,R5","2","10K","","","","ESP32_Custom_Footprints:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"U1","1","~","","","","ESP32_Custom_Footprints:ESP32-DevKit",""
